FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS16,PCH_REDEMP_SNAPS_12_16,PCT_SNAP12,PCT_SNAP16,PCH_SNAP_12_16,PC_SNAPBEN10,PC_SNAPBEN15,PCH_PC_SNAPBEN_10_15,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,SNAP_REPORTSIMPLE09,SNAP_REPORTSIMPLE16,PCT_NSLP09,PCT_NSLP15,PCH_NSLP_09_15,PCT_FREE_LUNCH09,PCT_FREE_LUNCH14,PCT_REDUCED_LUNCH09,PCT_REDUCED_LUNCH14,PCT_SBP09,PCT_SBP15,PCH_SBP_09_15,PCT_SFSP09,PCT_SFSP15,PCH_SFSP_09_15,PC_WIC_REDEMP08,PC_WIC_REDEMP12,PCH_PC_WIC_REDEMP_08_12,REDEMP_WICS08,REDEMP_WICS12,PCH_REDEMP_WICS_08_12,PCT_WIC09,PCT_WIC15,PCH_WIC_09_15,PCT_CACFP09,PCT_CACFP15,PCH_CACFP_09_15,FDPIR12
13081,GA,Crisp,423064.6457,320421.7126,-24.26176097,19.39529709,16.41494763,-2.98034946,38.39754256,36.39679066,-5.210624848,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,69.37101185,97.94007491,4.649042844,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,56.02681,41.5652,-25.81195,177949.1,140169.7,-21.23046,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13083,GA,Dade,120934.2078,125274.6996,3.589134905,19.39529709,16.41494763,-2.98034946,17.04943987,13.86145743,-18.69845848,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,40.68745004,44.96826836,12.62989608,13.19129646,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,18.57174,16.43201,-11.52143,74899.81,67740.95,-9.557924,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13085,GA,Dawson,319007.6862,226004.5023,-29.15390063,19.39529709,16.41494763,-2.98034946,16.39423795,12.26923518,-25.16129618,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,33.9234723,36.43701355,8.937749857,11.15595272,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,27.13418,26.9839,-0.5538542,149943.5,151258.3,0.8768303,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13087,GA,Decatur,381491.867,277888.8874,-27.15732328,19.39529709,16.41494763,-2.98034946,35.70145823,38.09672712,6.709162626,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,62.05380693,94.99718943,8.580974152,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,34.37149,31.47915,-8.414943,164719.7,144326.7,-12.38043,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13089,GA,DeKalb,512230.0056,407007.8225,-20.54197956,19.39529709,16.41494763,-2.98034946,24.69192009,27.34145061,10.73035435,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,60.27614156,65.95168454,7.428490646,4.576066154,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,27.16394,27.77283,2.241526,181197.2,185262.8,2.243775,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13091,GA,Dodge,328701.6938,250722.6718,-23.7233405,19.39529709,16.41494763,-2.98034946,27.99443323,23.91794085,-14.56179642,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,56.40189686,66.50616912,9.928867813,6.319590731,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,36.46089,25.5117,-30.02996,90076.63,108827.8,20.81691,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13093,GA,Dooly,153230.1721,143604.5758,-6.28178916,19.39529709,16.41494763,-2.98034946,24.59556688,23.354641,-5.045323335,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,80.22206801,100,11.72796669,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,32.83364,,,94536.25,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13095,GA,Dougherty,530716.7964,381127.168,-28.18633768,19.39529709,16.41494763,-2.98034946,44.00236169,47.06111178,6.951331638,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,72.77178629,99.967348,7.239370274,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,36.56569,32.06453,-12.3098,151544.1,144291.9,-4.785549,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13097,GA,Douglas,520803.8571,365788.4656,-29.76463968,19.39529709,16.41494763,-2.98034946,22.45543278,23.30023009,3.762106541,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,46.13843133,52.87830851,9.89940283,8.573192376,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,28.7333,23.23913,-19.12128,245403.5,148255.7,-39.58697,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13099,GA,Early,318713.1843,353035.0771,10.76889645,19.39529709,16.41494763,-2.98034946,43.80147771,46.0093449,5.040622612,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,67.61506276,96.3165075,8.033472803,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,45.23628,37.46206,-17.18582,105834.8,99218.25,-6.251769,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
13101,GA,Echols,64524.72,32225.54143,-50.05706119,19.39529709,16.41494763,-2.98034946,25.47099653,28.2447466,10.88983726,62,92.597,1,0,0,0,1,1,1,1,13.13427904,12.10152211,-1.032756923,59.87261146,90.5982906,8.280254777,0,5.744377651,6.137433513,0.393055861,0.696434332,0.991095326,0.294660994,,,,,,,5.078871539,2.587396369,-2.491475171,1.424865129,1.387363606,-0.037501523,0
