FIPS,State,County,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
13295,GA,Walker,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13297,GA,Walton,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13299,GA,Ware,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13301,GA,Warren,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13303,GA,Washington,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13305,GA,Wayne,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13307,GA,Webster,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13309,GA,Wheeler,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13311,GA,White,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13313,GA,Whitfield,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13315,GA,Wilcox,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13317,GA,Wilkes,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13319,GA,Wilkinson,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
13321,GA,Worth,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5
