FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
13267,GA,Tattnall,59.54545455,29.09090909,9.804075235,0.387931034,0.211598746,0.043103448,11.64184953,21.18338558,37163,27.5,1,36.1,1,0,0
13269,GA,Taylor,57.52301819,39.13092297,1.841455199,0.640017965,0.056141927,0,14.93375253,24.45542331,32041,27.3,1,41.1,1,0,0
13271,GA,Telfair,51.08484848,35.33333333,12.27878788,0.545454545,0.048484848,0.024242424,13.64242424,20.0969697,31149,34.7,1,42.2,1,0,0
13273,GA,Terrell,36.1352657,61.00912507,1.68545357,0.311325819,0.150295223,0,14.9006978,24.73429952,32342,36.5,1,55.7,1,1,0
13275,GA,Thomas,58.3206619,36.70840787,2.851073345,0.684257603,0.371198569,0.015652952,15.07155635,24.90384615,40449,21.7,0,32.4,1,0,0
13277,GA,Tift,58.71429284,28.78757665,10.0628147,1.263771873,0.179470562,0.019941174,12.769829,25.82381973,39988,27.1,0,39.8,1,0,0
13279,GA,Toombs,62.03210521,24.67031554,11.22212835,0.730999522,0.135914484,0.051427102,13.74572971,27.97267017,34953,25.1,1,39,1,0,0
13281,GA,Towns,96.47598128,0.372457263,1.967338363,0.410658008,0.286505587,0,29.23312005,15.6718556,39782,16.7,0,26.6,0,0,0
13283,GA,Treutlen,64.86564996,32.51997095,1.49600581,0.188816267,0.145243282,0,13.65286855,24.88017429,32086,28.7,1,41.6,1,0,0
13285,GA,Troup,60.27086689,33.29007816,3.236680389,1.572101903,0.199868743,0.031322713,12.38440427,26.55271165,41289,19.3,0,28.4,1,0,0
13287,GA,Turner,53.97536394,41.39977604,3.157894737,0.447928331,0.212765957,0,15.68868981,24.66965286,35117,28.4,1,44.8,1,0,0
13289,GA,Twiggs,56.06782667,41.03956555,1.374265765,0.155159038,0.299235288,0.011082788,16.16978832,20.56965533,36086,26.3,0,35.1,1,1,0
13291,GA,Union,95.26596741,0.444839858,2.43023038,0.351189361,0.309046638,0.018730099,26.57332834,17.76081663,42782,14.3,0,26.7,0,0,0
13293,GA,Upson,68.21345708,27.78330203,2.165506574,0.456671454,0.224652893,0.011048503,15.65941148,23.63274776,37864,22.7,0,33.7,0,0,0
13295,GA,Walker,92.12723253,4.085461632,1.618767817,0.42323579,0.247251149,0.043632556,14.98341963,23.64302752,42249,18.8,0,26.5,0,1,0
13297,GA,Walton,78.40344762,15.51069621,3.202893706,1.130503295,0.231592016,0.045363385,12.04755993,26.96495082,57312,12.7,0,19.3,0,1,0
13299,GA,Ware,64.94547257,29.36219432,3.323970037,0.765587134,0.267129324,0.019277374,15.23187927,23.5652126,35270,28.4,1,45.6,1,0,0
13301,GA,Warren,36.56153582,61.43297909,0.925608502,0.359958862,0.154268084,0,17.9465204,23.53445321,32350,27.7,1,43.9,1,0,0
13303,GA,Washington,44.07891632,52.5038939,1.920989286,0.490867041,0.089677633,0.004719875,13.59796101,23.81649124,36499,26.3,1,36.5,1,0,0
13305,GA,Wayne,72.25821456,19.69500648,5.711153194,0.531579122,0.2724343,0.019934217,12.83099106,24.78819894,41466,20.8,0,32.8,1,0,0
13307,GA,Webster,53.3047517,42.0507324,3.501250447,0.250089318,0,0,15.00535906,25.36620222,35770,23.6,0,36.1,1,0,0
13309,GA,Wheeler,59.35857701,34.79315456,4.797197143,0.215604366,0.080851637,0,11.88519068,18.85190675,30926,39.3,1,39.2,1,0,0
13311,GA,White,93.7702623,1.672561155,2.383583849,0.456822871,0.442086649,0.033156499,17.51399941,22.84114353,43598,15.2,0,24.9,0,0,0
13313,GA,Whitfield,62.20138598,3.539020848,31.64845661,1.259271533,0.175440306,0.028265383,11.15507948,28.54121385,45921,15.3,0,22.1,0,1,0
13315,GA,Wilcox,59.90275527,34.93246894,3.652079957,0.443003782,0.162074554,0.01080497,14.27336575,19.3084819,32480,30.4,1,40.4,1,0,0
13317,GA,Wilkes,51.87387898,42.63192674,3.407910885,0.453129425,0.132162749,0.009440196,18.60662702,22.24110261,34031,22.9,0,34.7,1,0,0
13319,GA,Wilkinson,57.81658475,38.31433651,2.237791488,0.324166057,0.209139391,0.01045697,15.72728223,24.30199728,38103,20.9,0,34.2,1,0,1
13321,GA,Worth,69.39434476,27.45052816,1.545274229,0.341344158,0.221412427,0.018451036,14.45638636,24.64597076,39560,21.7,0,34.3,1,1,0
