FIPS,State,County,GROC09,GROC14,PCH_GROC_09_14,GROCPTH09,GROCPTH14,PCH_GROCPTH_09_14,SUPERC09,SUPERC14,PCH_SUPERC_09_14,SUPERCPTH09,SUPERCPTH14,PCH_SUPERCPTH_09_14,CONVS09,CONVS14,PCH_CONVS_09_14,CONVSPTH09,CONVSPTH14,PCH_CONVSPTH_09_14,SPECS09,SPECS14,PCH_SPECS_09_14,SPECSPTH09,SPECSPTH14,PCH_SPECSPTH_09_14,SNAPS12,SNAPS16,PCH_SNAPS_12_16,SNAPSPTH12,SNAPSPTH16,PCH_SNAPSPTH_12_16,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13131,GA,Grady,3,5,66.66666667,0.120515808,0.197168658,63.60398018,1,1,0,0.0401719,0.0394337,-1.837611893,17,19,11.76470588,0.68292291,0.749240901,9.710904355,2,1,-50,0.080343872,0.0394337,-50.91880595,32.08333333,28.41666667,-11.42857143,1.261137317,1.145463829,-9.172156447,4,4,0,0.1596424,0.1572327,-1.509434
13133,GA,Greene,4,6,50,0.251035522,0.363856883,44.94238933,0,0,0,0,0,0,13,18,38.46153846,0.815865445,1.091570649,33.79297476,2,2,0,0.125517761,0.121285628,-3.371740449,27.58333333,28.08333333,1.812688822,1.714102245,1.651669313,-3.642310856,4,4,0,0.2537266,0.2485707,-2.032054
13135,GA,Gwinnett,144,145,0.694444444,0.180841819,0.165162737,-8.670053325,18,16,-11.11111111,0.0226052,0.0182249,-19.37770225,339,342,0.884955752,0.425731781,0.389556248,-8.497259407,51,47,-7.843137255,0.064048144,0.0535355,-16.41364718,522.0833333,548,4.964086193,0.620017592,0.604099721,-2.567325787,93,107,15.05376,0.1176442,0.1270714,8.013316
13137,GA,Habersham,7,6,-14.28571429,0.162991594,0.137136588,-15.86278505,0,1,,0,0.0228561,,33,32,-3.03030303,0.768388945,0.731395136,-4.814463893,1,2,100,0.0232845,0.0457122,96.32016822,50,56.41666667,12.83333333,1.148897059,1.275068179,10.98193434,9,8,-11.11111,0.2094241,0.1838235,-12.22427
13139,GA,Hall,34,34,0,0.190472989,0.178233496,-6.42584176,3,5,66.66666667,0.0168064,0.0262108,55.9569304,108,104,-3.703703704,0.605031848,0.545184812,-9.891551325,9,8,-11.11111111,0.0504193,0.0419373,-16.82297045,182,177.75,-2.335164835,0.981576563,0.903949918,-7.908363752,36,37,2.777778,0.194878,0.1995513,2.398082
13141,GA,Hancock,1,2,100,0.10517459,0.235045246,123.4810201,0,0,0,0,0,0,9,8,-11.11111111,0.946571308,0.940180985,-0.675102179,0,0,0,0,0,0,17.25,13.58333333,-21.25603865,1.917518897,1.572145062,-18.0114958,3,1,-66.66666,0.3149937,0.1111605,-64.71024
13143,GA,Haralson,7,4,-42.85714286,0.243275179,0.139659928,-42.59178899,1,1,0,0.0347536,0.034915,0.464369261,24,24,0,0.834086328,0.837959568,0.464369261,1,1,0,0.0347536,0.034915,0.464369261,31.66666667,32.75,3.421052632,1.115023474,1.127677157,1.134835574,8,8,0,0.277306,0.2816902,1.580994
13145,GA,Harris,7,5,-28.57142857,0.222264558,0.152086629,-31.57405315,0,0,0,0,0,0,19,19,0,0.603289515,0.577929188,-4.203674413,0,0,0,0,0,0,18.83333333,23.75,26.10619469,0.57859703,0.705753001,21.97660279,4,2,-50,0.1354325,0.0614439,-54.63134
13147,GA,Hart,4,4,0,0.159311773,0.157623044,-1.060014974,1,1,0,0.0398279,0.0394058,-1.060014974,15,14,-6.666666667,0.597419149,0.551680656,-7.656013976,0,0,0,0,0,0,25.16666667,23.33333333,-7.284768212,0.986231941,0.913134792,-7.411760468,6,6,0,0.2474023,0.2351281,-4.961198
13149,GA,Heard,3,1,-66.66666667,0.254993625,0.086184607,-66.20126979,0,0,0,0,0,0,7,8,14.28571429,0.594985125,0.689476859,15.88136073,0,0,0,0,0,0,7.75,6.25,-19.35483871,0.666208201,0.544093323,-18.32983709,1,1,0,0.0864977,0.0859623,-0.6189314
